n,slow_fast,2 loop,linked list to dict,linked list to array
100,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0
10000,0.000997781753540039,0.0009970664978027344,0.000997781753540039,0.0009968280792236328
100000,0.00698089599609375,0.008975982666015625,0.015958070755004883,0.011966943740844727
1000000,0.07280421257019043,0.1156911849975586,0.13467860221862793,0.12266206741333008
2000000,0.15259289741516113,0.18516302108764648,0.2922182083129883,0.2473735809326172
5000000,0.36873841285705566,0.47174954414367676,0.6710844039916992,0.6307013034820557
10000000,0.7798435688018799,0.9463045597076416,1.3345966339111328,1.2497525215148926
